date-dedicated,date-desire,date-order,date-removal,city,state,statue-name,statue-specifier,category,was-torn-down,geocode,Latitude,Longitude,Notes
,,,06/12/2020,Norfolk,Virginia,Johnny Reb (Confederate statue),“Johnny Reb” Confederate statue,removed,,"Norfolk, Virginia",36.8507689,-76.2858726,
Assorted,June 10 2020,TBD,TBD,District of Columbia,Washington,11 Confederate statues,11 Confederate statues in US Capitol,requested,,"District of Columbia, Washington",38.9071923,-77.0368707,
2008,June 2020,N/A,06/01/2020,Tampa,Florida,Large Confederate flag,a 60 feet  x 30 feet Confederate flag— the largest such flag ever made - was removed by its owner,removed,,"Tampa, Florida",27.950575,-82.4571776,
1966,"March 2019, June 2020",N/A,06/01/2020,Fort Myers,Florida,Statue of Robert E. Lee,a statue commemorating Confederate leader Robert E. Lee was removed from its base,removed,,"Fort Myers, Florida",26.640628,-81.8723084,
,,,06/05/2020,Deerborn,Michigan,Statue of Orville L. Hubbard,a statue of former Dearborn mayor Orville L. Hubbard,removed,,"Deerborn, Michigan",42.3222599,-83.1763145,
,,,05/30/2020,Nashville,Tennessee,Statue of Edward Carmack,a statue outside the Tennessee State Capitol of Edward Carmack,removed,1,"Nashville, Tennessee",36.1626638,-86.7816016,
,,,06/05/2020,Fredericksburg,Virginia,Slave auction block,An 800-pound slave auction block,removed,,"Fredericksburg, Virginia",38.3031837,-77.4605399,
1889,"2016, June 2020",06/01/2020,06/02/2020,Alexandria,Virginia,Appomattox (Confederate statue),Appomattox,removed,,"Alexandria, Virginia",38.8048355,-77.0469214,
1940,"2017*, 6/1/2020",TBD,TBD,Columbia,South Carolina,Statue of Benjamin Tillman,"Ben Tillman, State House",requested,,"Columbia, South Carolina",34.0007104,-81.0348144,
1927,June 2020,N/A,Torn down June 9 2020,Richmond,Virginia,Christopher Columbus statue,"Christopher Columbus, Byrd Park",removed,1,"Richmond, Virginia",37.5407246,-77.4360481,
1915,June 2020,06/01/2020,06/11/2020,Camden,New Jersey,Christopher Columbus statue,"Christopher Columbus, Farnham Park",removed,,"Camden, New Jersey",39.9259463,-75.1196199,
1979,"2006 (beheaded), 2015 (spray-painted), June 2020 (beheaded)",06/10/2020,06/11/2020,Boston,Massachusetts,Christopher Columbus statue,"Christopher Columbus, North End",removed,,"Boston, Massachusetts",42.3600825,-71.0588801,
1931,"2017, June 2020",N/A,Torn down June 10 2020,St. Paul,Minnesota,Christopher Columbus statue,"Christopher Columbus, State Capitol",removed,1,"St. Paul, Minnesota",44.9537029,-93.0899578,
1908,"2017, June 2020",June 1 2020 (UDC agreed to move),TBD,Bentonville,Arkansas,Confederate statue,"Confederate monument, Bentonville Square",planned,,"Bentonville, Arkansas",36.3728538,-94.2088172,
1909,"Aug 2017, June 4 2020 (letter sent)",TBD,TBD,Newport News,Virginia,Confederate statue,"Confederate monument, Denbigh area",requested,,"Newport News, Virginia",37.0870821,-76.4730122,
"Built in 1912, moved to current spot in 1928 to be more visible","2017,  June 2020",06/04/2020,06/08/2020,Indianapolis,Indiana,Confederate statue,"Confederate monument, Garfield Park",removed,,"Indianapolis, Indiana",39.768403,-86.158068,
1898,"2017*, June 2020",6/1/2020 (unannounced),06/09/2020,Jacksonville,Florida,Confederate statue,"Confederate monument, Hemming Park",removed,,"Jacksonville, Florida",30.3321838,-81.655651,
1914,"Feb 2006, Aug 2017, June 2020",06/15/2020,06/22/2020,Greenville,North Carolina,Confederate statue,"Confederate monument, Pitt Co Courthouse",removed,,"Greenville, North Carolina",35.612661,-77.3663538,
1906,"2015, 2019",06/18/2020,TBD,Oxford,Mississippi,Confederate statue,"Confederate monument, University of Mississippi",planned,,"Oxford, Mississippi",34.3668299,-89.518635,
1999,June 4 2020,06/04/2020,06/09/2020,Nashville,Tennessee,Confederate statue,"Confederate soldier statue, Montgomery Bell Academy ",removed,,"Nashville, Tennessee",36.1626638,-86.7816016,
1908,"2019, June 2020",TBD,TBD,Madisonville,Kentucky,Confederate statue,"Confederate soldier, Hopkins Co Courthouse",requested,,"Madisonville, Kentucky",37.3281005,-87.4988882,
1905,"2015,  May 31 2020 (vandalized)",05/31/2020,06/02/2020,Birmingham,Alabama,Confederate Soldiers and Sailors Monument,Confederate Soldiers & Sailors Monument,removed,,"Birmingham, Alabama",33.5185892,-86.8103567,
1872,June 2020,June 25 2020,TBD,Athens,Georgia,Confederate statue,Confederate statue in downtown Athens,planned,,"Athens, Georgia",33.9519347,-83.357567,planned relocation
1884,June 2020,06/11/2020,06/11/2020,Quincy,Florida,Confederate statue,confederate statue in front of the Gadsden County Courthouse,requested,,"Quincy, Florida",30.5880468,-84.591058,
1900,"Aug 2017, June 2020 (vandalized June 2 2020)",06/04/2020,06/05/2020,Mobile,Alabama,Statue of Raphael Semmes,Confederate statue of Admiral Raphael Semmes,removed,,"Mobile, Alabama",30.6953657,-88.0398912,
1891,"May 2017, June 2020",N/A,06/06/2020,Richmond,Virginia,Statue of Williams Carter Wickham,"Confederate statue of Gen. Williams Carter Wickham, Monroe Park",removed,1,"Richmond, Virginia",37.5407246,-77.4360481,
1936,2015; June 2020,06/12/2020,06/13/2020,Frankfort,Kentucky,Statue of Jefferson Davis,"Confederate Statue of Jefferson Davis, Capitol Rotunda",removed,,"Frankfort, Kentucky",38.2009055,-84.8732835,
1890,"2017, May 2020",06/04/2020,TBD,Richmond,Virginia,Statue of Robert E. Lee,Confederate Statue of Robert E. Lee,planned,,"Richmond, Virginia",37.5407246,-77.4360481,
1916,"2017, May 2020",TBD,TBD,Belton,Texas,Confederate statue,"Confederate statue, Bell County Courthouse",requested,,"Belton, Texas",31.0560132,-97.464453,
1900,"2017, June 2020",TBD,TBD,Owensboro,Kentucky,Confederate statue,"Confederate statue, Daviess Co Courthouse",requested,,"Owensboro, Kentucky",37.7719074,-87.1111676,
1905,"2017, June 2020",N/A,N/A,Huntsville,Alabama,Confederate statue,"Confederate statue, Madison County Courthouse",requested,,"Huntsville, Alabama",34.7303688,-86.5861037,
1910,June 7 2020 (petition),TBD,TBD,Cleveland,Tennessee,Confederate statue,Confederate statute at an instersection in front of Lee University,requested,,"Cleveland, Tennessee",35.1595182,-84.8766115,
1893,"2015, Aug 2017, June 10, 2020",TBD,TBD,Portsmouth,Virginia,Confederate monument,Monument with four confederate statues,requested,1,"Portsmouth, Virginia",36.8354258,-76.2982742,
1998,"2017, May 30 2020 (vandalized)",06/02/2020,06/03/2020,Philadelphia,Pennsylvania,Statue of Frank Rizzo,"Frank Rizzo, Philadelphia Mayor",removed,,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,
,"Summer 2019,",06/01/2020,06/25/2020,Wilmington,North Carolina,Statue of George Davis,George Davis monument at Third and Market,removed,,"Wilmington, North Carolina",34.2103894,-77.8868117,
1913,"2017, June 2020",,06/08/2020,Louisville,Kentucky,Statue of John B. Castleman,"John B. Castleman, Cherokee Triangle",removed,,"Louisville, Kentucky",38.2526647,-85.7584557,
1918,Petitioned June 2020,TBD,TBD,College Station,Texas,Statue of Lawrence Sullivan Ross,"Lawrence Sullivan ""Sully"" Ross statue, A&M campus",requested,,"College Station, Texas",30.627977,-96.3344068,
1934,at least since 2006,,06/05/2020,Lexington,Kentucky,Memorial Hall mural,"Memorial Hall fresco, University of Kentucky",removed,,"Lexington, Kentucky",38.0405837,-84.5037164,
,,,06/17/2020,Houston,Texas,Statue of Richard W. Dowling,"Richard W. ""Dick"" Dowling in Hermann Park",removed,,"Houston, Texas",29.7604267,-95.3698028,
2016,June 2020,06/10/2020,06/10/2020,Charlotte,North Carolina,Statue of Jerry Richardson,Statue of former Carolina Panthers owner,removed,,"Charlotte, North Carolina",35.2270869,-80.8431267,
1963,June 2020,,06/04/2020,Dallas,Texas,Texas Ranger statue,"Texas Ranger, Love Field airport",removed,,"Dallas, Texas",32.7766642,-96.7969879,
1832,,,05/30/2020,Fayetteville,North Carolina,"Market House, National Historic Landmark","the Market House, a National Historic Landmark",removed,,"Fayetteville, North Carolina",35.0526641,-78.8783585,
,,06/02/2020,,Rocky Mount,North Carolina,Nash County Confederate Monument,The Nash County Confederate Monument,planned,,"Rocky Mount, North Carolina",35.9382103,-77.7905339,
"Jackson: 1921, Lee: 1924","2017, April 15 2020",TBD,TBD,Charlottesville,Virginia,Statues of Robert E. Lee and Stonewall Jackson,"Two Confederate Statues, Robert E Lee and Stonewall Jackson",requested,,"Charlottesville, Virginia",38.0293059,-78.4766781,
1910,June 5 2020 petition,TBD,TBD,Monroe,Michigan,Statue of George Armstrong Custer,US cavalry officer George Armstrong Custer,requested,,"Monroe, Michigan",41.9164343,-83.3977101,
,,06/01/2020,06/25/2020,Wilmington,North Carolina,Confederate monument,Wilmington Confederate monument at Third and Dock,removed,,"Wilmington, North Carolina",34.2103894,-77.8868117,
"Robert E. Lee Dixie Highway, Colonel John Connally Marker: 1926, Monument to 60th Regt. NC Volunteers: 1905",June 2020,06/16/2020,TBD,Asheville,North Carolina,Confederate monument and Robert E. Lee monument,Two confederate monuments,planned,,"Asheville, North Carolina",35.5950581,-82.5514869,
1954,June 2020,Unknown,06/03/2020,Mobile,Alabama,Confederate flag in mural,a ceiling mural in the lobby of the McGill-Toolen Catholic High School which included the Confederate flag was painted over so it now resembles the Alabama state flag after petition,removed,,"Mobile, Alabama",30.6953657,-88.0398912,
"1908 (built), 1960 (moved to school)",June 2020,N/A,06/01/2020,Montgomery,Alabama,Statue of Robert E. Lee,statue of Robert E. Lee in front of the Robert E. Lee High School,removed,1,"Montgomery, Alabama",32.3792233,-86.3077368,
Unknown/Assorted,June 2020,06/08/2020,06/09/2020,Tuscaloosa,Alabama,Confederate monument and plaques,memorials to confederate soldiers at The University of Alabama,removed,,"Tuscaloosa, Alabama",33.2098407,-87.5691735,
"1878 (built), 1956 (moved to current)","2017, June 2020",TBD,TBD,Macon,Georgia,Confederate statue,a Confederate statue at Second Street and Cotton Avenue,requested,,"Macon, Georgia",32.8406946,-83.6324022,
1908,2017,06/11/2020,06/16/2020,Houston,Texas,Spirit of Confederacy statue,Confederate monument Spirit of Confederacy,removed,,"Houston, Texas",29.7604267,-95.3698028,
1898,June 2020,TBD,TBD,Asheville,North Carolina,Vance Monument,Confederate monument in consideration for removal separately from the other two Confederate Asheville monuments,requested,,"Asheville, North Carolina",35.5950581,-82.5514869,
1938 (moved to current loc. in Duncan Plaza in later years),June 2020,N/A,06/13/2020,New Orleans,Louisiana,Bust of John McDonogh,Bust of slaveowner,removed,1,"New Orleans, Louisiana",29.9510658,-90.0715323,
"1905 (dedicated), 1920s (moved to current loc.)",June 9 2020 (city council members call for relocation),N/A,N/A,Gadsden,Alabama,Emma Sansom Monument,Statue of Emma Sansom with relief of Sansom and Nathan Bedford Forrest inscribed on the base,requested,,"Gadsden, Alabama",34.014264,-86.0066386,
1917,June 2020,N/A,N/A,Murray,Kentucky,Statue of Robert E. Lee,"Lee statue outside Calloway County Courthouse in Murray, KY",requested,,"Murray, Kentucky",36.6103334,-88.314761,
1918,"1999, June 2020",06/09/2020,06/25/2020,Denton,Texas,Confederate soldier memorial,Confederate memorial in downtown Denton,removed,,"Denton, Texas",33.2148412,-97.1330683,
1962,June 8 2020,N/A,N/A,Phoenix,Arizona,Confederate monument,"Monument at State Capitol, Wesley Bolin Plaza",requested,,"Phoenix, Arizona",33.4483771,-112.0740373,
1891,"2017, 6/11/2020",N/A,N/A,Pensacola,Florida,Confederate monument,"Confederate monument, Pensacola",requested,,"Pensacola, Florida",30.421309,-87.2169149,
1925,June 2020,06/11/2020,TBD,Albany,New York,Statue of Philip Schuyler,Statue of Gen. Philip Schuyler in front of Albany City Hall,planned,,"Albany, New York",42.6525793,-73.7562317,
1939,"2017, June 2020",06/21/2020,TBD,New York,New York,Equestrian Statue of Theodore Roosevelt,Theodore Roosevelt statue at Natural History Museum,planned,,"New York, New York",40.7127753,-74.0059728,
1892,June 2020,N/A,N/A,New York,New York,Statue of Christopher Columbus,Statue of Columbus at Columbus Circle,requested,,"New York, New York",40.7127753,-74.0059728,
1879,June 2020,N/A,N/A,Boston,Massachusetts,Emancipation Memorial,Abraham Lincoln depicted with a slave in Boston's Park Square,requested,,"Boston, Massachusetts",42.3600825,-71.0588801,
1992,June 2020,06/13/2020,TBD,West Orange,New Jersey,Christopher Columbus monument,Monument to Columbus,planned,,"West Orange, New Jersey",40.7985699,-74.2390828,
1916,June 2020,N/A,06/14/2020,Portland,Oregon,Statue of Thomas Jefferson,Thomas Jefferson statue at Jefferson High School in North Portland,removed,1,"Portland, Oregon",45.5051064,-122.6750261,
1907,"2017, June 2020",N/A,N/A,Oxford,Mississippi,Confederate statue,"Confederate monument, Lafayette County Courthouse Square",requested,,"Oxford, Mississippi",34.3668299,-89.518635,
1886,"2017, 2019, June 2020",06/16/2020,06/16/2020,St. Louis,Missouri,Christopher Columbus Statue,"Columbus Statue, Tower Grove Park",removed,,"St. Louis, Missouri",38.6270025,-90.1994042,
1928,June 2020,06/11/2020,06/14/2020,New London,Connecticut,Christopher Columbus statue,Columbus New London,removed,,"New London, Connecticut",41.3556539,-72.0995209,
1926,June 2020,06/15/2020,June 29 2020,Hartford,Connecticut,Christopher Columbus statue,Columbus statue near CT Capitol,removed,,"Hartford, Connecticut",41.7658043,-72.6733723,
1892,June 2020,06/15/2020,06/24/2020,New Haven,Connecticut,Christopher Columbus statue,Columbus statue Wooster Square neighborhood,removed,,"New Haven, Connecticut",41.308274,-72.9278835,
"1898, 1960s (rededicated in current spot)",February 2019,06/13/2020 (appeals court granted approval),06/24/2020,Dallas,Texas,Confederate War Memorial,Confederate memorial in Pioneer Park,removed,,"Dallas, Texas",32.7766642,-96.7969879,
,June 2020 (Vandalized),06/12/2020,06/12/2020,Columbia,South Carolina,Christopher Columbus Statue,Columbus statue Columbia Riverfront Park,removed,,"Columbia, South Carolina",34.0007104,-81.0348144,
1883,June 2020,06/16/2020,TBD,Sacramento,California,Statue of Christopher Columbus and Queen Isabella,Columbus and Isabella in CA Capitol rotunda,planned,,"Sacramento, California",38.5815719,-121.4943996,
1987,6/8/2020 (vandalized),N/A,06/15/2020,Sacramento,California,Statue of John Sutter,Sutter statue at Sutter Health Medical Center,removed,,"Sacramento, California",38.5815719,-121.4943996,
